source_text,target_text,source_lang,target_lang,source_text_ner,target_text_ner,source_text_ner_tokens,target_text_ner_tokens
"Who was a member of the 2004 U.S. Olympic men's swim team and born in Baltimore, Maryland?","¿Quién fue miembro del equipo olímpico de natación masculino de Estados Unidos en 2004 y nació en Baltimore, Maryland?",en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'B-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O', 'B-DATE', 'O', 'O', 'O', 'B-GPE', 'O', 'B-GPE', 'O']","['Who', 'was', 'a', 'member', 'of', 'the', '2004', 'U.S.', 'Olympic', ""men's"", 'swim', 'team', 'and', 'born', 'in', 'Baltimore', ',', 'Maryland', '?']","['¿', 'Quién', 'fue', 'miembro', 'del', 'equipo', 'olímpico', 'de', 'natación', 'masculino', 'de', 'Estados', 'Unidos', 'en', '2004', 'y', 'nació', 'en', 'Baltimore', ',', 'Maryland', '?']"
Have the Los Angeles Rams won a Super Bowl ring since moving back to Los Angeles?,¿Los Rams de Los Ángeles han ganado un anillo del Super Bowl desde que se trasladaron a Los Ángeles?,en,es,"['O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O']","['O', 'B-ORG', 'I-ORG', 'O', 'B-GPE', 'I-GPE', 'O', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'I-GPE', 'O']","['Have', 'the', 'Los', 'Angeles', 'Rams', 'won', 'a', 'Super', 'Bowl', 'ring', 'since', 'moving', 'back', 'to', 'Los', 'Angeles', '?']","['¿', 'Los', 'Rams', 'de', 'Los', 'Ángeles', 'han', 'ganado', 'un', 'anillo', 'del', 'Super', 'Bowl', 'desde', 'que', 'se', 'trasladaron', 'a', 'Los', 'Ángeles', '?']"
Has there ever been a Christian U.S. senator?,¿Alguna vez ha habido un senador estadounidense cristiano?,en,es,"['O', 'O', 'O', 'O', 'O', 'B-NORP', 'B-GPE', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-NORP', 'B-NORP', 'O']","['Has', 'there', 'ever', 'been', 'a', 'Christian', 'U.S.', 'senator', '?']","['¿', 'Alguna', 'vez', 'ha', 'habido', 'un', 'senador', 'estadounidense', 'cristiano', '?']"
Which player has won the most World Series rings?,¿Qué jugador ha ganado más anillos de la Serie Mundial?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EVENT', 'I-EVENT', 'I-EVENT', 'O']","['Which', 'player', 'has', 'won', 'the', 'most', 'World', 'Series', 'rings', '?']","['¿', 'Qué', 'jugador', 'ha', 'ganado', 'más', 'anillos', 'de', 'la', 'Serie', 'Mundial', '?']"
How many Pulitzer Prizes has Colson Whitehead won?,¿Cuántos premios Pulitzer ha ganado Colson Whitehead?,en,es,"['O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-PERSON', 'I-PERSON', 'O', 'O']","['O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['How', 'many', 'Pulitzer', 'Prizes', 'has', 'Colson', 'Whitehead', 'won', '?']","['¿', 'Cuántos', 'premios', 'Pulitzer', 'ha', 'ganado', 'Colson', 'Whitehead', '?']"
"Which movie made more money, Joker or Suicide Squad (2016)?",¿Qué película recaudó más dinero: Joker o El Escuadrón Suicida (2016)?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O']","['Which', 'movie', 'made', 'more', 'money', ',', 'Joker', 'or', 'Suicide', 'Squad', '(', '2016', ')', '?']","['¿', 'Qué', 'película', 'recaudó', 'más', 'dinero:', 'Joker', 'o', 'El', 'Escuadrón', 'Suicida', '(', '2016', ')', '?']"
Did Citizen Kane come out before 1950?,¿Ciudadano Kane se estrenó antes del año 1950?,en,es,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'B-DATE', 'O']","['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'I-DATE', 'O']","['Did', 'Citizen', 'Kane', 'come', 'out', 'before', '1950', '?']","['¿', 'Ciudadano', 'Kane', 'se', 'estrenó', 'antes', 'del', 'año', '1950', '?']"
"Which movie had a higher lifetime gross, Jurassic World or The Lion King?",¿Qué película tuvo mayor recaudación: Mundo Jurásico o El Rey León?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Which', 'movie', 'had', 'a', 'higher', 'lifetime', 'gross', ',', 'Jurassic', 'World', 'or', 'The', 'Lion', 'King', '?']","['¿', 'Qué', 'película', 'tuvo', 'mayor', 'recaudación:', 'Mundo', 'Jurásico', 'o', 'El', 'Rey', 'León', '?']"
Did Inception have a bigger budget than Dunkirk?,¿Tuvo El Origen más presupuesto que Dunkerque?,en,es,"['O', 'B-PRODUCT', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O']","['Did', 'Inception', 'have', 'a', 'bigger', 'budget', 'than', 'Dunkirk', '?']","['¿', 'Tuvo', 'El', 'Origen', 'más', 'presupuesto', 'que', 'Dunkerque', '?']"
"Who has won more Academy Awards, Helen Mirren or Cate Blanchett?",¿Quién ha ganado más premios Óscar: Hellen Mirren o Cate Blanchett?,en,es,"['O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O']","['Who', 'has', 'won', 'more', 'Academy', 'Awards', ',', 'Helen', 'Mirren', 'or', 'Cate', 'Blanchett', '?']","['¿', 'Quién', 'ha', 'ganado', 'más', 'premios', 'Óscar:', 'Hellen', 'Mirren', 'o', 'Cate', 'Blanchett', '?']"
"Which horror movie made more money at the US Box Office, The Happening (2008) or The Conjuring (2013)?",¿Qué película de terror tuvo mayor recaudación en las taquillas de Estados Unidos: El Fin de los Tiempos (2008) o El Conjuro (2013)?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'B-GPE', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'O', 'O']","['Which', 'horror', 'movie', 'made', 'more', 'money', 'at', 'the', 'US', 'Box', 'Office', ',', 'The', 'Happening', '(', '2008', ')', 'or', 'The', 'Conjuring', '(', '2013', ')', '?']","['¿', 'Qué', 'película', 'de', 'terror', 'tuvo', 'mayor', 'recaudación', 'en', 'las', 'taquillas', 'de', 'Estados', 'Unidos:', 'El', 'Fin', 'de', 'los', 'Tiempos', '(', '2008', ')', 'o', 'El', 'Conjuro', '(', '2013', ')', '?']"
"Who is older, Anna Faris or Jennifer Aniston?",¿Quién es mayor: Anna Farris o Jennifer Aniston?,en,es,"['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O']","['O', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O', 'B-PERSON', 'I-PERSON', 'O']","['Who', 'is', 'older', ',', 'Anna', 'Faris', 'or', 'Jennifer', 'Aniston', '?']","['¿', 'Quién', 'es', 'mayor:', 'Anna', 'Farris', 'o', 'Jennifer', 'Aniston', '?']"
Did Twilight come out before 1995?,¿Crepúsculo se estrenó antes de 1995?,en,es,"['O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'B-DATE', 'O']","['O', 'B-WORK_OF_ART', 'O', 'O', 'B-DATE', 'I-DATE', 'B-DATE', 'O']","['Did', 'Twilight', 'come', 'out', 'before', '1995', '?']","['¿', 'Crepúsculo', 'se', 'estrenó', 'antes', 'de', '1995', '?']"
"Which movie had a bigger budget, The Wizard of Oz or Gone With The Wind?",¿Qué película contó con mayor presupuesto: El mago de Oz o Lo que el viento se llevó?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Which', 'movie', 'had', 'a', 'bigger', 'budget', ',', 'The', 'Wizard', 'of', 'Oz', 'or', 'Gone', 'With', 'The', 'Wind', '?']","['¿', 'Qué', 'película', 'contó', 'con', 'mayor', 'presupuesto:', 'El', 'mago', 'de', 'Oz', 'o', 'Lo', 'que', 'el', 'viento', 'se', 'llevó', '?']"
Was The Godfather released after 1970?,¿El Padrino se estrenó después de 1970?,en,es,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-DATE', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","['Was', 'The', 'Godfather', 'released', 'after', '1970', '?']","['¿', 'El', 'Padrino', 'se', 'estrenó', 'después', 'de', '1970', '?']"
Were the box office earnings for The Wolf of Wall Street or Inception higher?,¿Cuál tuvo la mayor recaudación de taquilla: El Lobo de Wall Street o El Origen?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'O', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Were', 'the', 'box', 'office', 'earnings', 'for', 'The', 'Wolf', 'of', 'Wall', 'Street', 'or', 'Inception', 'higher', '?']","['¿', 'Cuál', 'tuvo', 'la', 'mayor', 'recaudación', 'de', 'taquilla:', 'El', 'Lobo', 'de', 'Wall', 'Street', 'o', 'El', 'Origen', '?']"
Did Avengers or The Lion King have the highest budget in 2019?,¿Qué película tuvo el mayor presupuesto en 2019: Avengers o El Rey León?,en,es,"['O', 'B-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O', 'B-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Did', 'Avengers', 'or', 'The', 'Lion', 'King', 'have', 'the', 'highest', 'budget', 'in', '2019', '?']","['¿', 'Qué', 'película', 'tuvo', 'el', 'mayor', 'presupuesto', 'en', '2019', ':', 'Avengers', 'o', 'El', 'Rey', 'León', '?']"
Did the movie Moonraker come out before Live and Let Die?,¿La película Misión espacial se estrenó antes que Vive y deja morir?,en,es,"['O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Did', 'the', 'movie', 'Moonraker', 'come', 'out', 'before', 'Live', 'and', 'Let', 'Die', '?']","['¿', 'La', 'película', 'Misión', 'espacial', 'se', 'estrenó', 'antes', 'que', 'Vive', 'y', 'deja', 'morir', '?']"
Did the movie Thunderball come out before 1970?,¿La película Operación trueno se estrenó antes de 1970?,en,es,"['O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'B-DATE', 'O']","['O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-DATE', 'I-DATE', 'B-DATE', 'O']","['Did', 'the', 'movie', 'Thunderball', 'come', 'out', 'before', '1970', '?']","['¿', 'La', 'película', 'Operación', 'trueno', 'se', 'estrenó', 'antes', 'de', '1970', '?']"
Did Kill Bill: Vol. 1 come out after 2004?,¿Kill Bill: Volume 1 después de 2004?,en,es,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'B-CARDINAL', 'O', 'O', 'O', 'B-DATE', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-DATE', 'O']","['Did', 'Kill', 'Bill:', 'Vol.', '1', 'come', 'out', 'after', '2004', '?']","['¿', 'Kill', 'Bill:', 'Volume', '1', 'después', 'de', '2004', '?']"
"Between The Notebook and Dear John, which movie was more profitable worldwide?","Entre Diario de una pasión y Querido John, ¿cuál película fue más rentable en todo el mundo?",en,es,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']","['Between', 'The', 'Notebook', 'and', 'Dear', 'John', ',', 'which', 'movie', 'was', 'more', 'profitable', 'worldwide', '?']","['Entre', 'Diario', 'de', 'una', 'pasión', 'y', 'Querido', 'John', ',', '¿', 'cuál', 'película', 'fue', 'más', 'rentable', 'en', 'todo', 'el', 'mundo', '?']"
"Which movie had a bigger budget, Doctor Sleep or Ad Astra?",¿Qué película contó con mayor presupuesto: Doctor Sueño o Ad Astra?,en,es,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Which', 'movie', 'had', 'a', 'bigger', 'budget', ',', 'Doctor', 'Sleep', 'or', 'Ad', 'Astra', '?']","['¿', 'Qué', 'película', 'contó', 'con', 'mayor', 'presupuesto:', 'Doctor', 'Sueño', 'o', 'Ad', 'Astra', '?']"
Was Harry Potter and the Deathly Hallows Part 2 released before The Hunger Games?,¿Harry Potter y las Reliquias de la Muerte: Parte 2 se estrenó antes que Los juegos del Hambre?,en,es,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Was', 'Harry', 'Potter', 'and', 'the', 'Deathly', 'Hallows', 'Part', '2', 'released', 'before', 'The', 'Hunger', 'Games', '?']","['¿', 'Harry', 'Potter', 'y', 'las', 'Reliquias', 'de', 'la', 'Muerte:', 'Parte', '2', 'se', 'estrenó', 'antes', 'que', 'Los', 'juegos', 'del', 'Hambre', '?']"
Was Men in Black released the same year as Tomorrow Never Dies?,¿Hombres de Negro se estrenó el mismo año que El Mañana Nunca Muere?,en,es,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Was', 'Men', 'in', 'Black', 'released', 'the', 'same', 'year', 'as', 'Tomorrow', 'Never', 'Dies', '?']","['¿', 'Hombres', 'de', 'Negro', 'se', 'estrenó', 'el', 'mismo', 'año', 'que', 'El', 'Mañana', 'Nunca', 'Muere', '?']"
Was Air Force One released the same year as As Good as It Gets?,¿Avión presidencial se estrenó el mismo año que Mejor...imposible?,en,es,"['O', 'B-PRODUCT', 'I-PRODUCT', 'I-PRODUCT', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'O']","['O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O']","['Was', 'Air', 'Force', 'One', 'released', 'the', 'same', 'year', 'as', 'As', 'Good', 'as', 'It', 'Gets', '?']","['¿', 'Avión', 'presidencial', 'se', 'estrenó', 'el', 'mismo', 'año', 'que', 'Mejor...imposible', '?']"
Was The Fifth Element released the same year as The Full Monty?,¿El Quinto Elemento se estrenó el mismo año que The Full Monty?,en,es,"['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'B-WORK_OF_ART', 'I-WORK_OF_ART', 'I-WORK_OF_ART', 'O']","['Was', 'The', 'Fifth', 'Element', 'released', 'the', 'same', 'year', 'as', 'The', 'Full', 'Monty', '?']","['¿', 'El', 'Quinto', 'Elemento', 'se', 'estrenó', 'el', 'mismo', 'año', 'que', 'The', 'Full', 'Monty', '?']"
Is Tom Holland older than Tobey Maguire?,¿Tom Holland es mayor que Toby Maguire?,en,es,"['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['O', 'B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-PERSON', 'I-PERSON', 'O']","['Is', 'Tom', 'Holland', 'older', 'than', 'Tobey', 'Maguire', '?']","['¿', 'Tom', 'Holland', 'es', 'mayor', 'que', 'Toby', 'Maguire', '?']"
